,pH,N,P,K,OC,EC,S,Zn,Fe,Cu,Mn,B
0,5.52464928202079,72.37568696257001,21.216162073700108,480.2876594880399,47.55025411827862,0.9523947915910711,27.401156674398493,6.230969355076722,92.86088430046651,4.374521458386777,26.583369828671266,5.3731954517999565
1,5.576419728732043,606.2360588446005,50.78319086146333,119.2009492022114,21.38253455221432,0.19375524728331728,46.18068655302745,6.186406136714736,13.066968094697174,0.4000922903946802,54.310430675799196,18.742372949116596
2,5.590855748897026,6.376626816880254,87.32751757630484,485.03935504147466,29.055535431145117,1.4932102131431326,63.008100649831384,3.4752837465188424,73.18215244889757,8.417923758348147,8.38126959460987,18.805026351281207
3,6.192943962699667,89.54904290081139,85.95958588387718,470.3456246369926,15.966286336542964,0.5688923633199439,5.421697349681301,8.271543070696659,68.49963646192006,3.040581168698494,12.377948705615518,12.283750902848524
4,6.738727357128116,698.2520233867756,64.00729927397991,622.4406696990966,9.498131955033307,1.21075746821846,50.47543916975509,0.9441531978995044,39.683137306405946,1.121125967358012,46.09862242116023,15.456999974130163
5,7.402882663286171,694.7651263175658,58.79654647315101,596.191005364731,49.125915303715466,0.8102561285671839,65.32356605810084,5.274776694115059,11.889324566815562,0.7899573652306424,21.40714259117334,17.984974862237173
6,7.298498132692023,197.7761756544281,14.717193392776394,411.06118426588927,8.760757407611123,0.4958141555620492,45.1249240090144,2.187395157774791,84.02754851383925,1.1345403979938118,56.86281189305817,9.689620076039105
7,5.0137000781091485,702.8350920739555,12.044789064828421,71.6079736352366,13.425892818020886,0.4009417851915229,49.35148902497216,7.268638669248776,14.469993839310257,3.1541542209279427,78.23500092090771,7.442393482023297
8,7.026499365330702,553.4497210693382,90.223233673101,476.55414490243027,2.9379360328795467,0.7649304563447497,55.7409113162375,1.0635695853576876,19.17715971686619,6.137311091040911,20.399675333547567,9.373628670005774
9,6.1721032524809525,696.8517998924794,49.73900044595899,605.5166160634618,34.864861252351176,1.292051816974811,4.126531674092886,3.887052045267041,16.231250738141302,2.6013147462316235,74.49350646166644,10.083950221488024
10,6.0274734118855795,578.9127000325572,59.25350466738978,286.31511221649384,10.608351656323832,0.7556035015851097,51.41115013064488,4.074024836722566,45.41435066491522,8.56142236649456,48.837835765844446,10.167744401808775
11,5.418165369373498,84.6971955873031,4.0505401681320885,1.6419215578621693,42.01350438091968,1.3303065161277021,66.16593257757484,4.565033347107805,37.99463974974917,9.56560605129037,36.97145810977831,5.95166052749361
12,6.116138785919013,388.3691750159928,45.149895520298145,412.4481109413161,6.801604209019796,1.8390077434739749,44.110910954030814,5.0286421826755365,92.28166227691106,7.252244121677899,56.504943464301796,0.5071949250724872
